reviewID,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,label
128,4,TRUE,"02 23, 2017",AQQQ3IA92VBGR,804161380,Steven Rea,"The metal bookmark has a couple of weird flaws in it. I wish that all the cloth maps that were included with the books individually were included in this set, but it's worth losing those to get this cool set.",Nice set,1487808000,0
134,5,TRUE,"08 27, 2016",A2RPG0G1UGUFKL,804161380,Amazon Customer,Glad I got this for my collection,Five Stars,1472256000,0
136,5,TRUE,"12 16, 2014",A2Z3AK9S49YLVI,1712799,Vendalyn Adams,Good conditions,Five Stars,1418688000,0
147,5,TRUE,"01 24, 2016",A2OY8MLYIC1HSH,804161380,ecp,"great set of guides. no shipping damage. all books are in great shape , no misprints or upside-down pages.well worth the investment.",great set of guides,1453593600,0
148,5,TRUE,"09 28, 2014",A1H3KVFWEUJ6S,1712799,lovesshoes,My son loves Dr. Seuss,Good book,1411862400,0
149,5,TRUE,"04 24, 2015",A1ODX6T54D3TGI,1605161810,JAMES R. HAINER,Great quality.,Five Stars,1429833600,0
150,5,TRUE,"01 05, 2016",ABD0I9RXRUOL1,804161380,Kitty Lexi,I'm a huge Zelda fan and I'm so happy to add this to my collection ^.^,Love it!,1451952000,0
153,2,TRUE,"12 16, 2015",A391E3PBD96BPL,804161380,Toy,"Bought for future investing/collecting. Paper included isn't personally signed by the guy,its just a copy. and this actually dropped in price 40% in the last 9 months since I purchased.",Wish I passed this one,1450224000,0
154,5,TRUE,"06 02, 2014",A3KCU7U92ZL08X,1712799,Mary,i am a collector of Dr Seuss books and this has made a great addition to my collection! thank you,book was in good shape,1401667200,0
155,5,TRUE,"07 14, 2016",A3VJDUCYRQFPYY,1605160113,Scott Cook,Amazing Peace Thank you Jesus,Amazing Peace filling the room now,1468454400,0
156,5,TRUE,"08 26, 2015",A2JAYNG5U1KIWD,804161380,Martin Jimenez,Very happy with purchase,Five Stars,1440547200,0
160,5,TRUE,"11 27, 2013",A2NSC2MI27AODX,1712799,mamasass,What A Fun Book for the Grandkids. I'm adding to their Dr. Suess library. A big help for the ones who are learning to read.,Great Book,1385510400,0
164,5,TRUE,"12 25, 2014",AT78LEX3MKAYV,1605161810,flo,Words can't be said as to see this photo is to believe in Him.,Five Stars,1419465600,0
167,5,TRUE,"04 12, 2015",ASLK5BNPZIYOG,804161380,Bloomer,This is freakin awesome,must have for Zelda fans,1428796800,0
170,5,TRUE,"05 23, 2013",A1PZ94AOBKDLZU,1712799,Amanda,"A classic! I think children of all ages like to read this book, or have it read to them. Not as crazy as some of Dr Seuss's books.",one of the best,1369267200,0
173,5,TRUE,"05 09, 2013",A6S7H9EXZC4AT,1712799,Lis,Dr Seuss books are timeless and we never get tired of reading. I never read this to my children but my gransons are loving it.,Children's Books,1368057600,0
179,5,TRUE,"08 08, 2015",A2NMFPH9J9PBGC,1605160113,Marie,These cards are great. To me this is the true Jesus and I love this photo very much. I bought these cards to add to my Christmas cards but I couldn't wait that long and some people got them early. I still will add some to Christmas cards a good idea I think.,Great for Christmas Cards!!,1438992000,0
180,5,TRUE,"04 16, 2015",A2OTZ8KDTEPJC0,1605160113,Ellen Grace,Love this picture. Love the cards.,Excellent,1429142400,0
183,5,TRUE,"04 02, 2015",ATWFMTZEH77H1,1605160113,Robyn,"LOVE IT ! What a perfect ""inclosure"" in my Easter cards.","LOVE IT! What a perfect ""inclosure"" in my Easter ...",1427932800,0
187,5,TRUE,"09 11, 2014",A1P2BXN8E1EYN8,804161380,Andrew M. Hamling,"This is an awesome set of deluxe The Legend of Zelda video game guides. The box it came in is just great and I'm so happy they took the time to add to some of the books. While I did have some of these books already, the new and thicker Skyward Sword guide is really top notch. My only complaint is that the box comes full. I have other guides and Zelda books like the historia book that I can't cram inside it with the others, but that's ok. They need to sell the chest on it's own as I could fill another chest with the Zelda guides I already have. If you're a big Zelda fan and love the hardcover deluxe guides that they release with each game, this is a great box set and totally worth it!",Tough to find books remade!,1410393600,1
194,5,TRUE,"08 06, 2014",A1IY8YNM4W52QP,804161380,greencheeseELF,A must have for any Zelda fan or collector.,Five Stars,1407283200,0
198,4,FALSE,"01 16, 2006",A2B1GZIRD6W646,2006448,David W. Nicholas,"This is one of those books that purports to be about something, and at some levels is actually about something pretty much unrelated. The next most important industry after oil in the Middle East is carpets. The author, Kremmer, is a journalist who spent a decade travelling around the region, reporting on various events for Australian new agencies of one sort or another. This is his story of his love affair with carpets, which turns into a pretty serious study of their styles, manufacture, sale and trade, and of the significance of these items in Muslim culture. While the oil is irrelevant to Muslims, except in terms of the money it generates, carpets can tell a lot about the heritage of the Muslim world. For the most part, this is interesting, and there's a lot to learn about Muslims and carpets. Only towards the end of the book does the author begin to veer into actual politics, and then, of course, he turns out to think that American policy in the Middle East is too agressive (this was late in the Clinton years...one shudders to think what his opinions are now). Thankfully, he at least hates Saddam Hussein and the mullahs who run Iran (journalists typically don't like governments that restrict freedom of the press, regardless of whatever else they do). This one proviso aside, there's a lot of intersting material here, and the book is well-written, the characters drawn interestingly, and the settings well-rendered. I would recommend this book.",Unusual look at the Middle East,1137369600,1
205,5,TRUE,"04 30, 2014",A22KRTIWDLOA98,804161380,chadwick,"This box set is a wonderful addition to any Legend of Zelda collection! This set includes 6 Prima Guides, a metal bookmark, a certificate of authenticity, and a magnetic-closure treasure chest. The Prima guides included are for the games: Ocarina of Time 3D, Spirit Tracks, Phantom Hourglass, Wind Waker HD, Twilight Princess, and Skyward Sword. The guides speak for themselves, they walk you through all aspects of these games, giving you tips and help to complete the games. All of the books are high-quality hard cover, with gold-edged pages. I am a huge fan of the Legend of Zelda, and this box set was a perfect addition to my collection. I would recommend this box set to any fan of this franchise, plus the price on Amazon can't be beat!",Beautiful set!,1398816000,0
207,5,TRUE,"05 10, 2014",A1CB6LJGY9YSVS,1605160512,Bethany D,The print quality is outstanding. I love this painting. I got it framed and hung it on our bedroom wall; I never get tired of seeing it!,Gorgeous,1399680000,1
215,5,TRUE,"03 14, 2014",A3RGPIPHC2ACMH,804161380,I. McInerney,Just amazing. High quality and all the Zelda feels. Do yourself a favor and get this. A must have in any crazy Zelda fan's arsenal.,All the words cannot describe,1394755200,0
217,5,TRUE,"02 25, 2014",A3MXXBNFLOQWBQ,804161380,Domino,"I bought this set for my son. I am not a gamer, so I will state what I know about quality, and what my son has shared with me. I was quite impressed with the quality of the books. Hard covered, gilded edge pages, good binding. My son is thrilled with the content. Good graphics and he says the information is helpful.",Good quality reference books.,1393286400,0
220,4,FALSE,"05 10, 2003",A2X9XKFB18UQCU,2005263,bestseller92,"""The Sinister Pig"" (a term which has a couple of meanings in the book) is another fine addition to Tony Hillerman's Joe Leaphorn/Jim Chee series. This one involves a somewhat more complex plot than most of the previous ones, and as for character development, Mr. Hillerman seems to take it for granted that the readers of this book have also read at least some of the others, and that therefore he does not need to go into too much detail as to the personalities of his characters. Having said that, though, I enjoyed the book very much, and my only real complaint is, as with ""The Wailing Wind"", it is, at about 230 pages, just too short. But it is always a rare treat to be reunited with our old friends from the Navajo Tribal Police, and as an added bonus this edition features a happy ending romantically for the ever-lovelorn Jim Chee. Here's hoping Mr. Hillerman keeps the Leaphorn/Chee series coming, and that he adds a hundred or so pages to his next tale.",Another Fine (If Too Brief) from Tony Hillerman,1052524800,1
221,5,TRUE,"10 29, 2015",A3F0CJY0RW42D6,1616619813,Lorena Spray,"This mat is amazing! It doesn't prevent the ships to slide, but it adds so much to the feel of the game. Every time a friend sees it fo the first time, they're like ""whoa!"". Super recommended.",Best Mat for X-wing,1446076800,0
222,5,TRUE,"01 20, 2014",A33GQDA8GQYTDX,804161380,N. Jones,"These books are much higher quality than the standard release strategy guides. Obviously the books are hardbound allowing them to be more durable, but also the pages are printed on 80lb paper so they are thicker more durable pages than the original magazine releases. The material has also been revised from the original print so they are the most complete and accurate of the guides to date. I just received my guides recently and I have copy number 49647 of 50000. When these are gone Prima has said that they will not be reprinted. They have also released a collector's guide individually for A Link Between Worlds that I grabbed as well. Again the quality of the information inside is excellent as is the quality of these books that will surely become collector's items. Here's hoping they also release books for Majora's Mask when it inevitably releases on the 3DS as well as the new Zelda adventure for the Wii U later this year or Spring 2015, whenever it is ready.",Excellent reference material for the latest Zelda games,1390176000,0
224,5,TRUE,"01 15, 2014",A3Q1EK4VBVHJCP,804161380,Natalia Canela,amazing cool awesome interesting guides of the legend of Zelda excellent collectors edition item great for Zelda fans super cool,Great,1389744000,0
226,5,TRUE,"01 31, 2017",A1IANNK4SNEI33,1890560243,RMK100,Cute and fun way to introduce children to Spanish.,Fun!,1485820800,0
228,5,TRUE,"07 23, 2017",A25SQVXZL0OICV,2005263,m.h.,happy,Five Stars,1500768000,0
237,5,TRUE,"05 20, 2017",A3NUCX3B0OZ8RK,2005263,Arthur J. De Leon,"Tony Hillerman was adept in his portrayals of the Navaho police, the scenery, & his plots are zesty. The book was from a Library, in almost pristine condition. Arrived very fast. Am heartily enjoying right now.",Tony Hillerman was adept in his portrayals of the Navaho ...,1495238400,0
245,5,TRUE,"11 29, 2013",A1PSBR3JRZ9VO0,804161380,Vdub,"This is one of the coolest box sets I've ever purchased. I like the minimalism of the books themselves. Hylian crest and gold embellishments around the borders, different color for each game, titles on spine. They simply look amazing. The chest box is pretty cool too, but I'm not as impressed with it since I generally prefer to display books in the traditional upright position on a bookshelf. But it's a great tie-in to the games since opening chests is always something you associate with Zelda games. My only regrets are paying extremely high prices for individual new/sealed guides a year ago before this set was announced. I paid closer to $200 to get them all brand new on eBay. This set will surely devalue my existing ones since I'm planning on now reselling them. But I had to get this set since it included the OoT 3D guide that you can't get separately. I really don't get why they would release this set so close to the guide for A Link Between Worlds. Did no one have the foresight to either include a blank spot for the new guide, or actually include the new guide in this set? In a way it makes the set feel instantly out of date right at release. But oh well, not that big of a deal. I will be purchasing that one separately before it also becomes sold out everywhere and triples in price like Twilight Princess did.","So awesome, but why no guide for A Link Between Worlds?",1385683200,0
246,5,TRUE,"05 02, 2017",A353L9MM29O3UV,2005263,Steve Brannan,This has been one of the MOST captivating and intriguing of Hillerman's books yet!,Intriguing!,1493683200,0
248,5,TRUE,"11 29, 2013",A2AL1GN0TMTUXR,804161380,ROB F.,"this is a great price on this set, the treasure chest is a great addiiton. they are limited to 50k so buy it up!",LOZ is the best!,1385683200,0
250,5,TRUE,"09 01, 2015",A3O32OM5ANUSB2,1890560243,Katie Chen,"I am learning Mandarin Chinese and my husband (who is Taiwanese) has been using these with me to leave messages on the fridge for me to translate and reply to. These are a great learning tool - not just for kids! Unfortunately, being a ""kids"" set, they won't have any special hubby-wife phrases available like ""Kiss me you fool"" or anything like that. The quality is very good and the pieces are big enough that if they fell on the floor, my kid wouldn't try to swallow them (she doesn't eat anything off the ground bigger than a june-bug). I am very pleased with this set.","Very comprehensive set for beginners to form grammatically correct sentences! Good quality, sturdy. Highly recommend!",1441065600,0
254,4,TRUE,"11 27, 2013",A10PPCIFVK9ZT5,804161380,Gary Coffman,"I have been looking forward to receiving this set since I learned about and pre-ordered it back in August. I am a huge Zelda fan and always wanted to get my hands on the strategy guides, but never seemed to get around to buying them when they first released and, over time, they became very expensive. This works out great because we can get all of the Collector's Edition guides, plus one never released and only available in this set (Ocarina of Time) for a great price - each guide ends up being less than $20 each not including the packaging. As other have said, the packaging is wonderful. The treasure chest box is better quality than I had anticipated and the gold, metal etched bookmark is gorgeous! The actual shipping packaging was great, as well - very well protected with lots of foam so it arrived in pristine shape. The guides themselves are gorgeous! Great detail and amazing artwork. I also love how the paper edges are golden - it gives it a very classy look. I have yet to actually read through them, let alone use them, so I can't say how accurate and useful they are, but I am sure the do their job and then some. I was very concerned about the Skyward Sword guide because the reviews for the original version were absolutely terrible. Fortunately, however, I read that it has been updated to meet the quality of all of the other guides, so that was a huge sigh of relief. I do have a few gripes for this set, though. They are quite minor in the grand scheme of things, so it didn't kill it for me too much - they are just things I wish they would have included. First, I am very disappointed that no guides were made for the older Zelda games, i.e. Zelda I and II for NES, Link to the Past for SNES, LInk's Awakening for Gameboy, etc. I wouldn't even mind if they threw several games into one or two books to make it more efficient - it would just have been nice to have guides for every Zelda game in one set. Second, I was disappointed they didn't leave an empty slot for A Link Between Worlds. They've had this planned for a while and have had to have known the game was coming out the same time as this, as well as the collector's edition guide. Not a huge deal, but again... would have been a nice consideration. Third (and this is just something I would have thought to be cool - not dinging this set at all for not doing it) it would have been INCREDIBLE if they had some sort of audio device inside that makes the chest opening music from say Ocarina of Time when you open it - similar to when you open a greeting card with pre-recorded messages. Perhaps someday I will figure out how to do it myself - until then I will have to just sing the tune myself :) Finally, I am sad that some of the bonus content that came with the guides when they were originally released weren't included. I will be honest, I don't know which guides came with what, but I have seen others complain about this, stating that Twilight Princess in particular came with a few goodies. Overall, I am very happy with this set. For Zelda fans, it is a must buy especially if you don't own many or any of these guides already. Thanks for reading!",Almost perfect guide set!,1385510400,1
257,3,TRUE,"05 02, 2011",AGKHQA6OATS1E,3828770193,DJ,"This game is way too easy for adults. For kids, it's great. I wish they made one for adults though with more difficulty levels.",Eh...kids only,1304294400,0
261,5,TRUE,"11 18, 2014",A125S1C4AHRL17,1890560243,Judith Schechter,"After I bought these in a toy store, my granddaughter's Chinese teacher said they were the perfect aid for the beginning Chinese lessons she was taking. I then ordered a second set from Amazon for my grandson in another city. They are getting a lot of use in both places.",my granddaughter's Chinese teacher said they were the perfect aid for the beginning Chinese lessons she was taking,1416268800,0
262,5,FALSE,"07 21, 2010",A21WVMM3FA60QO,3828770193,Heather Martin,"I am great at solving games i get within either a day or a couple of days so i am constantly buying new games. Well this one has me stumped. I can't get past this certain level so right now I am giving it a break. LOL. The game is fantastic. More for tweens, teens, adults. Not little kids.","Fun, and Hard",1279670400,0
273,5,TRUE,"06 13, 2017",A3MKO61QMJ8V6V,6050036071,Princess Lonal,It sometimes go out of wack when the clapping parts in a song show up(like you hit it but it doesn't register no matter how hard you smack it) and the game doesn't register you as singing onkey when you know for a fact you are but other than that it works great!,Goes out at clapping and after,1497312000,0
277,5,TRUE,"03 30, 2016",A1IZ5UWI7DK85X,2005263,Joanna K D Kincaid,Anything Tony Hillerman wrote is top shelf!,Five Stars,1459296000,0
281,5,TRUE,"02 08, 2016",AWNSW4WCQAGGC,2005263,C. Holle,Great story teller.,Five Stars,1454889600,0
287,4,TRUE,"02 18, 2013",A39CLXSUND6MXV,1890560243,1956Amanda,I gave it to a child for a gift. I do plan to buy another for myself as I learn more Spanish.,Gift for a child.,1361145600,0
293,4,TRUE,"12 30, 2012",A9KAY47NCPQS,1890560243,Beatrice Izzey,Just having these in a visible area adds to the kids' sense of familiarity. With the language. However we are too laZy to get out fingernail under them to move them around. They are not easy to slide around.,Adds to familiarity,1356825600,0
298,5,TRUE,"05 29, 2015",A18BXJ1QUUU67M,2005263,Lillian Miera,"I have loved reading tiny Hillerman novels. The books are a ""you can't put down"" type. Hope to read all his books",Can't put it down,1432857600,0
309,5,TRUE,"01 30, 2016",A25ILXLT6KI904,6050036071,Cindy,"I bought these to use with band hero and with the voice games for xbox 360. It worked well, plugged into the xbox 360 without any issues. The microphone worked properly and was just as seller had described. My voice is heard clearly on it and we were able to play both games usuing this mic. Great deal with the price. I would recommend it.",worked fine,1454112000,0
310,5,TRUE,"04 09, 2015",AXW91NZREQK7W,2005263,Gene Gallegos,Excellent writing by Hillerman!,Five Stars,1428537600,0
311,4,TRUE,"01 30, 2016",A30EX4R3GLHIFZ,6050036071,Andrea,Just got this to use with Rockband for my PS4 and its works!,Four Stars,1454112000,0
313,5,TRUE,"01 17, 2013",A29RHUTG6912YY,193228981X,Amelia Catherine,"I bought this to use in my dorm, because I'm an English major and words are my hobby and I'm a nerd and all. The magnets were on my refrigerator for a few months, but I recently moved them to a magnetic white board hanging on the wall outside my door so that the girls I live with could leave messages and play with them!",Fun Fun Fun!,1358380800,1
320,5,TRUE,"01 28, 2015",A359IT4L5PTY29,2005263,James K. Adams,Great story in the Hillerman tradition.,Five Stars,1422403200,0
322,1,TRUE,"12 8, 2015",A1KIHI72Z4FY0S,6050036071,fabian fraga,Doesn't work with xbox.,One Star,1449532800,0
324,5,TRUE,"10 27, 2014",A19FCFVRZ1JLQR,193228981X,Lizbeth Hartz,It's fun to play with,Five Stars,1414368000,0
329,5,TRUE,"12 13, 2013",AZ2ZW6B92DBZK,193228981X,FWMame,This is a very small set but perfect for a small fridge or college student. These are also good conversation starters since everyone hangs out in the kitchen anyway!!,Fun,1386892800,0
